0,0,4,14,-1,2016/07/07,0,4,2,0.0005,0.0005,
0,0,4,15,-1,2016/07/07,2,0,1,0,
0,0,4,16,-1,2016/07/07,3,0,1,171,
0,0,5,0,-1,2016/07/06,0,3,2,3.924,3.928,
0,0,5,1,-1,2016/07/06,0,2,2,7.52,7.5,
0,0,5,2,-1,2016/07/06,0,2,2,6.31,6.33,
0,0,5,3,-1,2016/07/06,0,2,2,13.27,13.77,
0,0,5,4,-1,2016/07/06,0,2,2,1.08,0.95,
0,0,5,5,-1,2016/07/06,0,2,2,0.39,0.39,
0,0,5,6,-1,2016/07/06,0,2,2,0.17,0.12,
0,0,5,7,-1,2016/07/06,0,1,2,22,22,
0,0,5,8,-1,2016/07/06,0,2,2,1.58,1.51,
0,0,5,9,-1,2016/07/06,0,2,2,1.88,1.87,
0,0,5,10,-1,2016/07/06,0,2,2,1.97,1.98,
0,0,5,11,-1,2016/07/06,0,2,2,0.65,0.66,
0,0,5,12,-1,2016/07/06,0,0,2,59,65,
0,0,5,13,-1,2016/07/06,3,0,1,68038,
0,0,5,14,-1,2016/07/06,0,4,2,0.0005,0.0005,
0,0,5,15,-1,2016/07/06,2,0,1,0,
0,0,5,16,-1,2016/07/06,3,0,1,138,
0,0,6,0,-1,2016/07/06,0,3,2,3.924,3.922,
0,0,6,1,-1,2016/07/06,0,2,2,7.52,7.5,
0,0,6,2,-1,2016/07/06,0,2,2,6.31,6.33,
0,0,6,3,-1,2016/07/06,0,2,2,13.27,13.77,
0,0,6,4,-1,2016/07/06,0,2,2,1.08,0.95,
0,0,6,5,-1,2016/07/06,0,2,2,0.39,0.39,
0,0,6,6,-1,2016/07/06,0,2,2,0.17,0.12,
0,0,6,7,-1,2016/07/06,0,1,2,22,22.1,
0,0,6,8,-1,2016/07/06,0,2,2,1.58,1.51,
0,0,6,9,-1,2016/07/06,0,2,2,1.76,1.62,
0,0,6,10,-1,2016/07/06,0,2,2,2.01,2.03,
0,0,6,11,-1,2016/07/06,0,2,2,0.66,0.66,
0,0,6,12,-1,2016/07/06,0,0,2,53,48,
0,0,6,13,-1,2016/07/06,3,0,1,68040,
0,0,6,14,-1,2016/07/06,0,4,2,0.0005,0.0005,
0,0,6,15,-1,2016/07/06,2,0,1,0,
0,0,6,16,-1,2016/07/06,3,0,1,151,
0,0,7,0,-1,2016/07/07,0,3,2,3.929,3.931,
0,0,7,1,-1,2016/07/07,0,2,2,7.53,7.52,
0,0,7,2,-1,2016/07/07,0,2,2,6.31,6.33,
0,0,7,3,-1,2016/07/07,0,2,2,13.27,13.77,
0,0,7,4,-1,2016/07/07,0,2,2,1.08,0.95,
0,0,7,5,-1,2016/07/07,0,2,2,0.39,0.39,
0,0,7,6,-1,2016/07/07,0,2,2,0.17,0.12,
0,0,7,7,-1,2016/07/07,0,1,2,22,22,
0,0,7,8,-1,2016/07/07,0,2,2,1.58,1.51,
0,0,7,9,-1,2016/07/07,0,2,2,1.75,1.78,
0,0,7,10,-1,2016/07/07,0,2,2,1.98,2.02,
0,0,7,11,-1,2016/07/07,0,2,2,0.71,0.7,
0,0,7,12,-1,2016/07/07,0,0,2,62,62,
0,0,7,13,-1,2016/07/07,3,0,1,68043,
0,0,7,14,-1,2016/07/07,0,4,2,0.0005,0.0006,
0,0,7,15,-1,2016/07/07,2,0,1,0,
0,0,7,16,-1,2016/07/07,3,0,1,138,
0,0,8,0,-1,2016/07/07,0,3,2,3.915,3.915,
0,0,8,1,-1,2016/07/07,0,2,2,7.52,7.51,
0,0,8,2,-1,2016/07/07,0,2,2,6.31,6.33,
0,0,8,3,-1,2016/07/07,0,2,2,13.27,13.77,
0,0,8,4,-1,2016/07/07,0,2,2,1.08,0.95,
0,0,8,5,-1,2016/07/07,0,2,2,0.39,0.39,
0,0,8,6,-1,2016/07/07,0,2,2,0.17,0.12,
0,0,8,7,-1,2016/07/07,0,1,2,22.1,22.1,
0,0,8,8,-1,2016/07/07,0,2,2,1.58,1.51,
0,0,8,9,-1,2016/07/07,0,2,2,1.78,1.7,
0,0,8,10,-1,2016/07/07,0,2,2,1.99,2.05,
0,0,8,11,-1,2016/07/07,0,2,2,0.66,0.66,
0,0,8,12,-1,2016/07/07,0,0,2,70,63,
0,0,8,13,-1,2016/07/07,3,0,1,68047,
0,0,8,14,-1,2016/07/07,0,4,2,0.0005,0.0006,
0,0,8,15,-1,2016/07/07,2,0,1,0,
0,0,8,16,-1,2016/07/07,3,0,1,151,
0,0,9,0,-1,2016/07/08,0,3,2,3.928,3.928,
0,0,9,1,-1,2016/07/08,0,2,2,7.52,7.52,
0,0,9,2,-1,2016/07/08,0,2,2,6.31,6.33,
0,0,9,3,-1,2016/07/08,0,2,2,13.27,13.77,
0,0,9,4,-1,2016/07/08,0,2,2,1.08,0.95,
0,0,9,5,-1,2016/07/08,0,2,2,0.39,0.39,
0,0,9,6,-1,2016/07/08,0,2,2,0.17,0.12,
0,0,9,7,-1,2016/07/08,0,1,2,22,21.9,
0,0,9,8,-1,2016/07/08,0,2,2,1.58,1.51,
0,0,9,9,-1,2016/07/08,0,2,2,1.7,1.76,
0,0,9,10,-1,2016/07/08,0,2,2,1.96,1.99,
0,0,9,11,-1,2016/07/08,0,2,2,0.65,0.65,
0,0,9,12,-1,2016/07/08,0,0,2,86,86,
0,0,9,13,-1,2016/07/08,3,0,1,68045,
0,0,9,14,-1,2016/07/08,0,4,2,0.0005,0.0006,
0,0,9,15,-1,2016/07/08,2,0,1,0,
0,0,9,16,-1,2016/07/08,3,0,1,171,
